rs_section,usc_title,usc_section,status
1687,,,Rep.
1688,22,39,Rep.
1689,22,4191,
1690–1692,,,Rep.
1693,22,168,Rep.
1694,,,Rep.
1695,22,"51a, 55",Rep.
1696,22,58,Rep.
"1697, 1698",22,11,Rep.
1699–1701,22,106–108,Rep.
1702–1705,,,Rep.
1706,22,109,Rep.
1707,22,4193,
1708,22,4194,
1709,22,4195,Rep.
1710,22,4196,
1711,22,4197,
"1712, 1713",22,"80, 82",Rep.
1714,22,71,Rep.
1715,22,4200,
1716,22,4202,
1717,22,4204,
1718,22,4205,
1719,22,4207,
"1720, 1721",,,Rep.
1722,22,4208,
1723,22,4209,
1724,22,4210,
1725,22,4211,
1726,22,4212,Rep.
1727,22,"4212, 4213",Rep.
1728,22,4214,Rep.
"1729, 1730",,,Rep.
1731,22,4216,
"1732, 1733",,,Rep.
1734,22,4217,
"1735, 1736",22,1199,Rep.
1737,22,4218,
1738,22,105,Rep.
1739,,,Rep.
1740,22,121,Rep.
1741,,,Rep.
"1742, 1743",22,"123, 125",Rep.
1744,22,33,Rep.
1745,22,4219,
1746,22,4220,
1747,,,Rep.
"1748, 1749",22,"129, 130",Rep.
1750,22,4221,
,,,I.R.C. '39
1751,,,Rep.
1752,22,132,Rep.
1753,5,631,Rev. T.
1754,5,35,Rev. T.
1755,,,
1756,,,Rep.
1757–1759,5,"16, 18, 21",Rev. T.
"1760, 1761",5,"52, 56",Rev. T.
1762,,,Rep.
1763–1766,5,"58, 69, 70, 82",Rev. T.
1767–1772,,,Rep.
1773–1775,5,"10, 13, 14",Rev. T.
1776,31,554,
1777–1779,5,"89, 92, 102",Rev. T.
1780–1783,,,Rep.
1784,5,113,Rev. T.
1785,,,Rep.
1786,5,14a,Rev. T.
1787–1789,,,Rep.
1790,19,49,Rep.
1791,4,1,Rev. T.
1792,4,"1, 2",Rev. T.
1793–1796,4,4–7,Rev. T.
1797,40,19,Rev. T.
1798,40,8,Rev. T.
1799,,,Rep.
1800–1804,40,"45, 48, 54, 56, 57",Rev. T.
"1805, 1806",40,"55, 58",Rev. T.
1807–1811,40,"46, 47, 49, 51, 52",Rev. T.
1812,40,"20, 50",Rev. T.
1813,40,65,Rev. T.
1814,2,2131,
1815,2,2134,
1816,2,"1814, 2184",
1817,,,Rep.
"1818, 1819",40,"66, 192",Rev. T.
1820,2,2183,
1821,2,1901,
1822,2,1921,Rep.
1823,2,1928,Rep.
1824,2,1941,
1825,2,1943,Rep.
1826,2,2141,
1827,2,2142,
1828,18,702,Rev. T.
1829,3,49,Rev. T.
1830,40,102,Rev. T.
1831,2,2133,
1832,3,50,Rev. T.
,40,218,Rev. T.
1833,3,51,Rev. T.
,40,219,Rev. T.
1834,3,52,Rev. T.
,40,220,Rev. T.
1835,40,221,Rev. T.
1836–1838,4,9–11,Rev. T.
1839,48,1451,
1840,48,1452,
1841,48,1453,Rep.
1842,,,Rep.
"1843, 1844",48,"1454, 1455",Rep.
1845–1853,,,Rep.
1854,48,1460a,Rep.
1855,48,1457,Rep.
1856,,,Rep.
"1857, 1858",48,"1458, 1459",Rep.
1859,,,Rep.
1860,48,1460,Rep.
1861–1863,,,Rep.
1864,48,1463a,Rep.
1865–1867,,,Rep.
1868,48,1463,Rep.
1869–1872,,,Rep.
1873,48,1453a,Rep.
1874–1877,,,Rep.
1878,48,1465,Rep.
1879–1882,,,Rep.
"1883, 1884",48,"1467, 1468",Rep.
1885,,,Rep.
1886,48,1469,Rep.
1887,,,Rep.
1888,48,1470,Rep.
1889,,,Rep.
1890,48,1480,Rep.
1891,,,Rep.
1892–1895,48,1482–1485,Rep.
1896–1955,,,Rep.
1956,16,644,Rep.
1957,16,645,Elim.
1958,,,Rep.
1959,16,646,Rep.
1960,16,647,Rep.
1961,16,649,Rep.
1962–1972,,,Rep.
1973,16,655,
1974,16,657,Rep.
1975,16,655,
1976,16,656,
1977,42,1981,
1977A,42,1981a,
1978,42,1982,
1979,42,1983,
1980,42,1985,
1981,42,1986,
1982,42,1987,
1983,42,1989,
1984,42,1989,
1985,42,1990,
1986,8,52,Rep.
1987,42,1991,
1988,42,1992,
1989,42,1993,Rep.
1990,42,1994,
1991,,,Rep.
"1992, 1993",8,"1, 6",Rep.
1994,,,Rep.
1995,8,2,Elim.
"1996, 1997",8,12,Rep.
1998,8,11,"Rep. See T. 10 §§ 3253, 8253."
,10,624,Rev. T.
1999,8,1481 nt,
"2000, 2001",22,"1731, 1732",
2002,,,Rep.
2003,52,10102,
2004,52,10101,
2005–2031,,,Rep.
"2032, 2033",8,"61, 62",Elim.
2034–2036,,,Rep.
2037,8,65,Elim.
2038,24,261,Elim.
2039,25,21,Rep.
2040,,,
2041,,,Rep.
2042,25,24,Elim.
"2043, 2044",,,Rep.
2045–2051,,,Rep.
2052,25,26,Rep.
2053,25,64,
"2054, 2055",,,Rep.
2056–2058,25,"28, 29, 31",Rep.
2059,25,62,
"2060, 2061",25,"30, 38",Rep.
2062,25,27,Elim.
2063,25,39,Rep.
2064,25,35,Rep.
2065,,,Rep.
"2066, 2067",25,"40, 41",
2068,25,42,Rep.
2069,25,45,
2070,,,Rep.
2071,25,271,
2072,25,48,
2073,25,65,
"2074, 2075",25,"50, 51",Rep.
2076,25,60,
"2077, 2078",25,"54, 68",Rep.
"2079, 2080",25,"71, 72",
"2081, 2082",25,"114, 115",
"2083, 2084",25,"91, 92",Elim.
2085,25,98,
2086,25,111,
2087,25,130,
2088,25,112,
2089,25,113,
2090,25,132,
2091,,,Rep.
2092,25,131,
2093,25,152,
2094,25,153,
"2095, 2096",25,"157, 158",
2097,25,122,
2098,25,126,Elim.
2099,,,Rep.
2100,25,127,
2101,25,138,
2102,,,Rep.
"2103, 2104",25,"81, 82",
"2105, 2106",25,"83, 84",Rep.
2107,,,Rep.
2108,25,159,
2109,25,146,
2110,25,141,Elim.
2111–2113,25,171–173,Rep.
2114,25,174,
"2115, 2116",25,"176, 177",
"2117, 2118",25,"179, 180",
2119,25,185,
2120,25,186,Rep.
2121,25,187,Elim.
"2122, 2123",25,"188, 189",Rep.
2124,25,201,
"2125, 2126",25,"193, 194",
